title,meal_block,description,calories_estimate,goal_tags,fitness_level_min,fitness_level_max,nova_max,foods
Arepa con huevo y aguacate,desayuno,Arepa de maíz asada con huevo revuelto y media porción de aguacate,380,general_health|muscle_gain,1,5,2,"Huevo, de gallina, entero, crudo|Aguacate, crudo"
Arepa con queso fresco,desayuno,Arepa de maíz con queso campesino derretido encima,320,general_health,1,5,2,"Queso, minas, meia cura"
Arepa con quesillo y hogao,desayuno,Arepa paisa con quesillo y hogao de tomate y cebolla,410,general_health,1,4,2,"Queso, minas, meia cura|Tomate, con semilla, crudo|Cebolla, cruda"
Arepa antioqueña con huevo frito,desayuno,Arepa blanca asada con huevo frito y sal al gusto,360,general_health|muscle_gain,1,5,2,"Huevo, de gallina, entero, frito"
Arepa de chócolo con queso,desayuno,Arepa dulce de maíz tierno con queso campesino,390,general_health,1,5,2,"Maíz, verde, crudo|Queso, minas, meia cura"
Arepa paisa rellena de pollo,desayuno,Arepa rellena de pollo desmechado y un toque de mayonesa,470,muscle_gain,3,5,2,"Pollo, Pechuga, sin piel, cocido"
Arepa rellena de carne molida,desayuno,Arepa de maíz rellena con carne molida guisada,490,muscle_gain,3,5,2,"Carne, bovina, Aguja de res, molido, cocido"
Arepa con huevos pericos,desayuno,Arepa con huevos revueltos con tomate y cebolla,410,general_health|muscle_gain,1,5,2,"Huevo, de gallina, entero, crudo|Tomate, con semilla, crudo|Cebolla, cruda"
Arepa boyacense con cuajada,desayuno,Arepa amarilla de Boyacá con cuajada fresca,360,general_health,1,5,2,"Queso, minas, meia cura"
Arepa santandereana con chicharrón,desayuno,Arepa de maíz con chicharrón crocante de la región,520,general_health|muscle_gain,1,3,3,
Arepa de huevo costeña,desayuno,"Arepa frita rellena de huevo, típica del Caribe",430,general_health,1,3,3,"Huevo, de gallina, entero, crudo"
Arepa con suero costeño y queso,desayuno,Arepa con suero atollabuey y queso costeño,400,general_health,1,4,2,"Queso, minas, meia cura"
Arepa con aguacate y tomate,desayuno,Arepa asada con láminas de aguacate y tomate fresco,340,general_health|fat_loss,1,5,2,"Aguacate, crudo|Tomate, con semilla, crudo"
Arepa integral con clara de huevo,desayuno,Arepa integral con tres claras de huevo y espinaca,280,fat_loss,2,5,2,"Huevo, de gallina, clara, cocida/10minutos|Espinaca, Nova Zelândia, crudo"
Arepa con atún,desayuno,Arepa rellena de atún en agua con cebolla y limón,350,fat_loss|muscle_gain,2,5,3,"Atún, conserva en Aceite vegetal|Cebolla, cruda"
Mini arepas con hogao,desayuno,Cuatro mini arepas con hogao casero,300,general_health,1,5,2,"Tomate, con semilla, crudo|Cebolla, cruda"
Arepa con frijoles refritos,desayuno,Arepa de maíz con frijoles paisa refritos,420,general_health|muscle_gain,1,5,2,"Frijol, carioca, cocido"
Arepa con jamón y queso,desayuno,Arepa rellena de jamón pavo y queso mozzarella,430,general_health|muscle_gain,1,5,3,"Queso, mozarela"
Arepa con pollo y aguacate,desayuno,Arepa rellena de pollo a la plancha y aguacate,460,muscle_gain,3,5,2,"Pollo, Pechuga, sin piel, a la plancha|Aguacate, crudo"
Arepa con sardina y limón,desayuno,"Arepa con sardinas en lata, cebolla morada y limón",380,general_health|muscle_gain,2,5,3,"Sardina, conserva en Aceite vegetal|Cebolla, cruda"
Arepa de yuca con queso,desayuno,Arepa hecha con harina de yuca y queso fresco,360,general_health,1,5,2,"Queso, minas, meia cura"
Arepa con huevo cocido y aguacate,desayuno,Arepa con huevo duro picado y aguacate machacado,370,general_health|fat_loss,1,5,2,"Huevo, de gallina, entero, cocido/10minutos|Aguacate, crudo"
Arepa con champiñones salteados,desayuno,Arepa con champiñones salteados al ajillo,310,general_health|fat_loss,2,5,2,"Ajo, crudo"
Arepa con tomate y albahaca,desayuno,"Arepa caprese con tomate fresco, queso y albahaca",340,general_health,1,5,2,"Tomate, con semilla, crudo|Queso, mozarela"
Arepa con espinaca y queso,desayuno,Arepa rellena de espinaca salteada con queso,330,general_health|fat_loss,1,5,2,"Espinaca, Nova Zelândia, salteado|Queso, minas, meia cura"
Calentado paisa tradicional,desayuno,"Arroz, frijoles y huevo frito recalentados del día anterior",450,general_health|muscle_gain,1,3,2,"Arroz, tipo 1, cocido|Frijol, carioca, cocido|Huevo, de gallina, entero, frito"
Calentado con carne molida,desayuno,Calentado tradicional acompañado de carne molida guisada,540,muscle_gain,3,5,2,"Arroz, tipo 1, cocido|Frijol, carioca, cocido|Carne, bovina, Aguja de res, molido, cocido"
Calentado con chorizo y arepa,desayuno,"Arroz, frijoles, chorizo dorado y arepa antioqueña",580,general_health|muscle_gain,1,3,3,"Arroz, tipo 1, cocido|Frijol, carioca, cocido"
